index,table                 ,table_count,id        ,name                   ,shape
45   ,bazhoupois_hotel      ,24         ,B0FFFD1SRY,且末沁园大酒店                ,"85.534642,38.144749;85.533103,38.153202;85.53341,38.153228;85.5267,38.14708;85.526756,38.147401;85.53378,38.154278;85.528594,38.153794;85.534157,38.14642;85.532739,38.147277;85.534764,38.145627;85.534271,38.152306;85.531981,38.154441;85.534642,38.144749"
46   ,bazhoupois_hotel      ,25         ,B03E400IAC,库尔勒康城建国国际酒店            ,"86.163258,41.77573;86.162225,41.77508;86.162212,41.77508;86.161692,41.775631;86.162279,41.773609;86.154394,41.774414;86.16424,41.767861;86.162454,41.775974;86.156005,41.775531;86.155766,41.776142;86.16204,41.767472;86.155283,41.76731;86.163258,41.77573"
47   ,bazhoupois_hotel      ,26         ,B0FFG7EXGN,州际酒店                   ,"85.532108,38.140266;85.532486,38.134386;85.539502,38.140815;85.537012,38.141775;85.532108,38.140266"
48   ,bazhoupois_hotel      ,27         ,B03E400K9V,工交宾馆                   ,"86.149297,41.774733;86.149422,41.783759;86.144186,41.775534;86.142782,41.774975;86.149297,41.774733"
49   ,bazhoupois_hotel      ,28         ,B0FFGEPPAU,新疆金叶大酒店(库尔勒)           ,"86.148222,41.769241;86.146046,41.775894;86.139612,41.775041;86.142292,41.775984;86.146894,41.768685;86.147875,41.767418;86.148222,41.769241"
50   ,bazhoupois_hotel      ,29         ,B0FFFV54NE,汇鑫源宾馆                  ,"86.151705,41.782822;86.151138,41.782635;86.145849,41.791376;86.153475,41.78877;86.151705,41.782822"
51   ,bazhoupois_hotel      ,30         ,B03E400EFK,巴音郭楞宾馆                 ,"86.163675,41.770555;86.155625,41.772021;86.16211,41.772713;86.162183,41.769701;86.154465,41.764471;86.162933,41.769837;86.163271,41.770099;86.154833,41.764817;86.154849,41.770701;86.156398,41.764555;86.164008,41.761841;86.16384,41.763039;86.157153,41.769805;86.158694,41.769371;86.165406,41.761757;86.165427,41.771281;86.164374,41.771801;86.167039,41.771443;86.166884,41.771995;86.15718,41.771415;86.164124,41.764629;86.164839,41.771973;86.158425,41.771117;86.165404,41.772615;86.15662,41.765211;86.163675,41.770555"
52   ,bazhoupois_hotel      ,31         ,B03E40MABF,佳鑫国华酒店                 ,"86.135769,41.762129;86.134826,41.762483;86.128101,41.767389;86.135254,41.770189;86.128961,41.768285;86.133445,41.768397;86.134262,41.760633;86.134549,41.761325;86.135769,41.762129"
53   ,bazhoupois_hotel      ,32         ,B03E400JT1,麒麟宾馆(天山西路)             ,"86.144983,41.774189;86.144154,41.775027;86.142412,41.781179;86.145121,41.7743;86.144983,41.774189"
54   ,bazhoupois_hotel      ,33         ,B0FFFVS3SL,赛雅欧式宾馆                 ,"84.247726,41.778807;84.248021,41.780579;84.247772,41.780105;84.255642,41.772243;84.247726,41.778807"
55   ,bazhoupois_hotel      ,34         ,B0FFFH11MI,金客来宾馆                  ,"86.387499,42.325017;86.385565,42.325763;86.386155,42.323496;86.379936,42.323941;86.385644,42.331979;86.387499,42.325017"
56   ,bazhoupois_hotel      ,35         ,B0FFIFXWUQ,大金原会所                  ,"86.155805,41.750575;86.153903,41.744239;86.161631,41.751077;86.1560,41.744019;86.155868,41.751623;86.155805,41.750575"
57   ,bazhoupois_hotel      ,36         ,B0FFHRO276,轮台唐朝商务酒店               ,"84.250671,41.774515;84.251274,41.782357;84.245282,41.781019;84.252059,41.773839;84.250671,41.774515"
58   ,bazhoupois_hotel      ,37         ,B0FFG8JR0B,凯旋酒店式家庭公寓              ,"86.155933,41.749627;86.154862,41.747352;86.157263,41.75517;86.157638,41.754967;86.148848,41.745961;86.157536,41.747583;86.154353,41.751543;86.153372,41.754081;86.145749,41.746275;86.144979,41.751631;86.150429,41.752711;86.150429,41.75303;86.150746,41.754166;86.153284,41.754166;86.152897,41.75652;86.152668,41.75468;86.155933,41.749627"
59   ,bazhoupois_hotel      ,38         ,B03E40MFNU,帝豪大酒店(米兰路)             ,"88.166338,39.027535;88.173522,39.026322;88.174037,39.031868;88.165796,39.031868;88.167009,39.032068;88.171946,39.033981;88.166705,39.033637;88.166338,39.027535"
60   ,bazhoupois_hotel      ,39         ,B0FFIG9IS5,塔里木酒店                  ,"86.153943,41.755694;86.158274,41.748052;86.151749,41.75044;86.159838,41.757104;86.15944,41.757746;86.159186,41.749078;86.158143,41.751152;86.159597,41.749894;86.15034,41.758228;86.15047,41.758428;86.160602,41.755774;86.152911,41.757436;86.161041,41.756714;86.153943,41.755694"
61   ,bazhoupois_hotel      ,40         ,B03E40MC11,豪君温州大酒店                ,"86.154884,41.772274;86.161254,41.766298;86.161762,41.766694;86.155007,41.773238;86.154884,41.772274"
62   ,bazhoupois_hotel      ,41         ,B03E4002TD,龙驹宾馆                   ,"86.870048,42.271838;86.868474,42.265419;86.870296,42.264186;86.862271,42.272164;86.862271,42.272617;86.862063,42.264721;86.867906,42.272369;86.869095,42.264306;86.86185,42.272063;86.867877,42.264651;86.868754,42.269805;86.869804,42.264569;86.870048,42.271838"
63   ,bazhoupois_hotel      ,42         ,B03E400EK9,金星大酒店                  ,"86.144311,41.761023;86.136948,41.76954;86.144468,41.761532;86.143946,41.769811;86.144311,41.761023"
64   ,bazhoupois_hotel      ,43         ,B03E40075R,教园宾馆                   ,"86.157102,41.770883;86.15813,41.777282;86.155697,41.777644;86.164007,41.778905;86.157102,41.770883"
65   ,bazhoupois_hotel      ,44         ,B0FFFV1TR4,龙瑞酒店(巴音路)              ,"86.375007,42.339306;86.366132,42.331919;86.368322,42.339447;86.375381,42.332102;86.374341,42.340796;86.366237,42.333794;86.374724,42.333499;86.36716,42.332831;86.367647,42.338647;86.375055,42.331576;86.375007,42.339306"
66   ,bazhoupois_hotel      ,45         ,B03E400935,金元宾馆(人民西路)             ,"86.132757,41.762409;86.138823,41.762114;86.140138,41.764575;86.134346,41.765114;86.132757,41.762409"
67   ,bazhoupois_hotel      ,46         ,B03E40M98V,库尔勒园林宾馆                ,"86.169102,41.725048;86.167682,41.7312;86.175724,41.729976;86.178225,41.730486;86.178653,41.732302;86.176884,41.723856;86.170399,41.723168;86.170471,41.723147;86.178369,41.731475;86.178625,41.722023;86.17727,41.722435;86.169471,41.729041;86.175763,41.724265;86.170178,41.722875;86.170632,41.723909;86.177649,41.730756;86.177308,41.727714;86.170986,41.727846;86.16988,41.72115;86.167738,41.723308;86.175865,41.72833;86.169348,41.73009;86.176468,41.721574;86.173626,41.730442;86.166556,41.722352;86.169222,41.730389;86.175571,41.728347;86.175082,41.730861;86.169102,41.725048"
68   ,bazhoupois_hotel      ,47         ,B0FFG7EN3D,温州商务宾馆                 ,"85.538536,38.138809;85.531492,38.138316;85.532238,38.132127;85.530513,38.13665;85.538536,38.138809"
